gene	module	moduleset
LCMT2	103	3
DHCR7	103	3
MRPL2	103	3
SEPT2	103	3
SSX2IP	103	3
MAPK9	103	3
RGP1	103	3
PPP2R5C	103	3
PHKA2	103	3
TASP1	103	3
RPL31	103	3
TRAM1	103	3
DLAT	103	3
TM9SF3	103	3
KIAA0649	103	3
PWP2	103	3
LOC646808	103	3
KLHDC3	103	3
FAM174B	103	3
NASP	103	3
MRPL35	103	3
ZNF337	103	3
ASF1A	103	3
PITRM1	103	3
DNAJB12	103	3
EHF	103	3
TPP2	103	3
ARL6IP4	103	3
MST1	103	3
ACTR3B	103	3
NETO2	103	3
HRB	103	3
DTYMK	103	3
C7orf28A	103	3
CNOT8	103	3
CDK8	103	3
DNAJC16	103	3
C12orf51	103	3
ALMS1	103	3
KCNN1	103	3
TSR1	103	3
IDI1	103	3
ROR1	103	3
LMO4	103	3
SPHK2	103	3
PEX11A	103	3
RNF14	103	3
CSGLCA-T	103	3
NSMCE4A	103	3
RNF7	103	3
YWHAE	103	3
PPAT	103	3
AKR1A1	103	3
DCUN1D4	103	3
API5	103	3
MGC4172	103	3
SSR1	103	3
GRPEL1	103	3
MAPK1IP1L	103	3
POLR3K	103	3
YIPF3	103	3
R3HDM2	103	3
YIPF6	103	3
CLIP1	103	3
ABCB7	103	3
LOC100129250	103	3
CCRK	103	3
LOC646208	103	3
PSMD12	103	3
PPP2R5D	103	3
PDSS1	103	3
NSFL1C	103	3
LDB1	103	3
EI24	103	3
SLC29A1	103	3
MTMR2	103	3
CD46	103	3
FADS1	103	3
RNF6	103	3
AKT1	103	3
ZNF292	103	3
ISCA1	103	3
DCK	103	3
SFRS3	103	3
DCTN5	103	3
JAG2	103	3
EIF4E2	103	3
GSPT1	103	3
RNGTT	103	3
INPP5B	103	3
TMEM50A	103	3
HNRNPUL2	103	3
SNX19	103	3
NOV	103	3
RP6-213H19.1	103	3
SEPT10	103	3
MAPK1	103	3
SIX2	103	3
MGC39900	103	3
CYP51A1	103	3
MB	103	3
KPNA6	103	3
FXC1	103	3
PHF3	103	3
STX7	103	3
KCTD5	103	3
RNF10	103	3
GRK6	103	3
LOC653390	103	3
RCHY1	103	3
FAAH	103	3
FAM49B	103	3
TRAPPC9	103	3
RABIF	103	3
SNX13	103	3
RAB26	103	3
ABLIM1	103	3
HEY1	103	3
CCNG2	103	3
TMED5	103	3
HMGCS1	103	3
GPR137	103	3
TOMM40	103	3
INTS12	103	3
LOC642236	103	3
ZFP106	103	3
CYP51A1	103	3
BAK1	103	3
KPNA3	103	3
RNF13	103	3
MAPKAPK2	103	3
CAPN5	103	3
PLCB3	103	3
ZMYND11	103	3
NKX3-1	103	3
MLX	103	3
PTBP1	103	3
AP2A2	103	3
SIVA1	103	3
GNG4	103	3
ACRV1	103	3
CYB5B	103	3
SRF	103	3
TKTL1	103	3
PCGF3	103	3
FADS2	103	3
GCH1	103	3
B3GNT2	103	3
CYP27A1	103	3
SNX7	103	3
HMBOX1	103	3
GRAMD1B	103	3
CKLF	103	3
HTATIP2	103	3
UBE2L3	103	3
HMOX2	103	3
COL4A6	103	3
MDFI	103	3
MAPKAP1	103	3
ATP1B3	103	3
SREBF2	103	3
WIZ	103	3
ARHGDIA	103	3
GNA11	103	3
SC4MOL	103	3
DDEF1	103	3
KLF5	103	3
PTEN	103	3
ALDH9A1	103	3
RNPEPL1	103	3
CDH5	103	3
BHLHB2	103	3
NID1	103	3
PRSS3	103	3
NDST1	103	3
TRA	103	3
FSCN1	103	3
MTMR11	103	3
GRSF1	103	3
PRRX1	103	3
THBS4	103	3
SLC12A2	103	3
PLEC1	103	3
ARPC4	103	3
PTP4A1	103	3
ACTBL3	103	3
TAC3	103	3
NTAN1	103	3
RRBP1	103	3
ARAF	103	3
CEACAM7	103	3
MYO1D	103	3
C19orf6	103	3
SCUBE2	103	3
DHRS9	103	3
HSPA8	103	3
RSU1	103	3
ABCC3	103	3
HSD17B11	103	3
TFF3	103	3
INHBA	103	3
CAP1	103	3
ABP1	103	3
HOPX	103	3
CEACAM6	103	3
KLK10	103	3
BGN	103	3
PIGR	103	3
CLCA1	103	3
CAMK2N1	103	3
COL10A1	103	3
CILP	103	3
ENTPD4	103	3
DBI	103	3
UGT2B17	103	3
RAC1	103	3
ACTG2	103	3
GPX2	103	3
LIPA	103	3
MARCKS	103	3
S100P	103	3
HMGCS2	103	3
FCGBP	103	3
AGR2	103	3
LGALS4	103	3
CEACAM5	103	3
ACTA2	103	3
ACTB	103	3
SLC15A1	104	4
FLOT1	104	4
MTMR9	104	4
C14orf135	104	4
CMTM6	104	4
DAAM1	104	4
HOXA10	104	4
ZNF84	104	4
GMPR	104	4
PDZK1	104	4
NDRG3	104	4
VPS41	104	4
CLIC1	104	4
CHRNA1	104	4
C1orf114	104	4
TAGLN2	104	4
ADCY1	104	4
DOPEY1	104	4
DPPA4	104	4
NKIRAS2	104	4
CILP	104	4
HOXD1	104	4
ENSA	104	4
TM4SF1	104	4
RAI17	104	4
LY6E	104	4
C6orf108	104	4
RBX1	104	4
ZHX3	104	4
EXDL2	104	4
SLC29A3	104	4
SLC16A10	104	4
LRP4	104	4
MRCL3	104	4
SYNJ2BP	104	4
PELO	104	4
KIAA0329	104	4
PCSK5	104	4
LOC171220	104	4
HYMAI	104	4
RGS3	104	4
WASF1	104	4
SLCO1A2	104	4
PHACTR2	104	4
THRAP2	104	4
NCOA1	104	4
SPR	104	4
ZFYVE26	104	4
AKR1B10	104	4
NDUFB3	104	4
TCF3	104	4
SV2C	104	4
RHOBTB3	104	4
SACS	104	4
VAMP8	104	4
ANXA9	104	4
PTHB1	104	4
ZFAND6	104	4
KIAA1199	104	4
SLC19A2	104	4
SFRS15	104	4
PCNX	104	4
STC2	104	4
SH3GL1	104	4
OTUD3	104	4
EYA4	104	4
TSPO	104	4
EIF2S1	104	4
SNRPD3	104	4
DOK5	104	4
GFRA1	104	4
STK19	104	4
NDUFB2	104	4
D4S234E	104	4
ABCA6	104	4
TPSAB1	104	4
SLC3A1	104	4
BTBD1	104	4
GSN	104	4
IFI16	104	4
MPP5	104	4
SPATA2	104	4
SAMD4A	104	4
NDUFA1	104	4
MYO15B	104	4
ELOVL1	104	4
MCTP1	104	4
ICAM3	104	4
PLAGL1	104	4
IQGAP2	104	4
ADCK2	104	4
STK32B	104	4
FBXL18	104	4
KIAA0090	104	4
ZNF643	104	4
NAG18	104	4
NSD1	104	4
YIPF2	104	4
CIB1	104	4
IQGAP1	104	4
RUNX1	104	4
PFAS	104	4
TM2D3	104	4
SP100	104	4
KIAA0182	104	4
ZNF529	104	4
DACH1	104	4
ARHGAP24	104	4
CP	104	4
RAB11A	104	4
NDUFS6	104	4
TRPC6	104	4
C14orf103	104	4
TTRAP	104	4
JMJD3	104	4
ISG20	104	4
SP4	104	4
CHES1	104	4
SOX11	104	4
NR2F2	104	4
CLDN10	104	4
PCTP	104	4
ANXA1	104	4
DHPS	104	4
COL4A6	104	4
DNMBP	104	4
EFS	104	4
BTN2A1	104	4
KIAA0774	104	4
RGPD5	104	4
IRF2BP1	104	4
SNAP29	104	4
PLXNB1	104	4
GOSR1	104	4
P11	104	4
ECEL1	104	4
FYN	104	4
LEFTY2	104	4
CUTL1	104	4
CRY2	104	4
ITSN1	104	4
MRLC2	104	4
RARRES3	104	4
BHMT2	104	4
NFS1	104	4
PSD3	104	4
COQ2	104	4
ATP6V1H	104	4
ALDH6A1	104	4
CFB	104	4
SIM2	104	4
LRP6	104	4
SON	104	4
PDCD1LG2	104	4
C6orf97	104	4
CCT5	104	4
SOX14	104	4
OPTN	104	4
MAD2L1BP	104	4
GULP1	104	4
PRKDC	104	4
ATF7IP	104	4
AASS	104	4
RNF5	104	4
GAA	104	4
C19orf2	104	4
C4orf19	104	4
CYB5R1	104	4
CDC2L6	104	4
CFI	104	4
TMED3	104	4
CCRL1	104	4
ZFYVE9	104	4
TLE2	104	4
GARNL1	104	4
UBB	104	4
C9orf127	104	4
AQP3	104	4
OPA1	104	4
SAT1	104	4
FLG	104	4
GGA2	104	4
BAG1	104	4
CCND3	104	4
CA5B	104	4
PHC1	104	4
TKTL1	104	4
SIRT5	104	4
KIAA0644	104	4
MARK4	104	4
PERLD1	104	4
ARPC2	104	4
SEC61B	104	4
PCK2	104	4
TUBB4	104	4
GGT1	104	4
TMEM1	104	4
THEM2	104	4
SIRT3	104	4
KCNK5	104	4
CHD1L	104	4
MCTS1	104	4
PTDSR	104	4
SLC14A1	104	4
C6	104	4
RGS14	104	4
C11orf61	104	4
ANKRD55	104	4
ZMYM2	104	4
CCDC109B	104	4
CKLF	104	4
ARNT	104	4
CLTA	104	4
ZBED4	104	4
ARF5	104	4
CYLD	104	4
NTNG1	104	4
ZSWIM1	104	4
NEDD8	104	4
SPTLC2	104	4
ENDOD1	104	4
TBC1D13	104	4
C12orf22	104	4
HOXA9	104	4
ACTR5	104	4
GH2	104	4
GPR39	104	4
CAMSAP1	104	4
FKBPL	104	4
ZNF780B	104	4
ZNF354A	104	4
MATN1	104	4
PLSCR1	104	4
GADD45GIP1	104	4
PCM1	104	4
PDE3B	104	4
FLT1	104	4
C19orf56	104	4
C14orf45	104	4
HBLD2	104	4
PDIA5	104	4
AIMP2	105	5
ALOX5AP	105	5
ANKZF1	105	5
ANXA1	105	5
APOL1	105	5
ARMCX2	105	5
ASCC2	105	5
ATP5E	105	5
ATP5J	105	5
B4GALT5	105	5
BCL2A1	105	5
BIN1	105	5
C19orf62	105	5
CCL2	105	5
CCL5	105	5
CD209	105	5
CD38	105	5
CD8A	105	5
CDC14B	105	5
CDK7	105	5
CHD8	105	5
CLDN7	105	5
CNDP2	105	5
COL13A1	105	5
COX17	105	5
COX6A1	105	5
CTSH	105	5
CXCL2	105	5
CXCL9	105	5
CXCR7	105	5
DAD1	105	5
DNAJB1	105	5
DSTN	105	5
EFHA1	105	5
EIF2B1	105	5
EIF3K	105	5
FAM127B	105	5
FCER1G	105	5
FGL2	105	5
FKBP1B	105	5
FNDC3A	105	5
G6PD	105	5
GLRX3	105	5
GPHN	105	5
GRSF1	105	5
GSTM3	105	5
GTF3A	105	5
HADHA	105	5
HDAC1	105	5
HK2	105	5
HLA-DPB1	105	5
ID4	105	5
IGSF6	105	5
IL1B	105	5
IRF1	105	5
ITGAL	105	5
KANK1	105	5
KATNB1	105	5
KIF3C	105	5
KIFAP3	105	5
LAPTM4A	105	5
LRP12	105	5
LRRC1	105	5
LRRC59	105	5
MCAT	105	5
MMP11	105	5
MPHOSPH8	105	5
MRPS27	105	5
MTRF1	105	5
MYST3	105	5
N4BP2L2	105	5
NCKAP1L	105	5
NCOA1	105	5
NDFIP1	105	5
NDUFA4	105	5
NDUFB4	105	5
NUCB2	105	5
NUP107	105	5
NUP210	105	5
NUP98	105	5
OSR2	105	5
PARVA	105	5
PCYOX1L	105	5
PFDN2	105	5
PGK1	105	5
PPFIA1	105	5
PRPF18	105	5
PRSS8	105	5
PTN	105	5
RAB25	105	5
RAB3GAP2	105	5
RAD17	105	5
RAF1	105	5
RASGRP1	105	5
RBX1	105	5
RCOR3	105	5
RNASET2	105	5
RNF14	105	5
RNF146	105	5
RPL11	105	5
RPS21	105	5
RPS7	105	5
RTN2	105	5
SACS	105	5
SCRN1	105	5
SERPINA1	105	5
SKIL	105	5
SLC7A11	105	5
SMARCAL1	105	5
SMYD2	105	5
SMYD3	105	5
SNRPD2	105	5
SPDEF	105	5
SPTLC1	105	5
SRPX	105	5
TBCB	105	5
TEAD1	105	5
TEX264	105	5
TNIK	105	5
TREM2	105	5
UBE2L6	105	5
UBL3	105	5
USP16	105	5
WDR73	105	5
WIPI2	105	5
WSB2	105	5
C16ORF53	106	6
FJX1	106	6
CXORF6	106	6
D4S234E	106	6
NFKBIB	106	6
C12ORF5	106	6
C19ORF2	106	6
C20ORF121	106	6
C20ORF10	106	6
WDR77	106	6
DDEFL1	106	6
HSPB7	106	6
PMVK	106	6
CHIT1	106	6
EXOC6B	106	6
ANXA4	106	6
GAD1	106	6
FZD5	106	6
LRIG1	106	6
AADAC	106	6
CD38	106	6
CXCL13	106	6
MARCH6	106	6
DAP	106	6
GALNT10	106	6
MCM3	106	6
PEX6	106	6
ZNF76	106	6
SPDEF	106	6
CUTA	106	6
VPS52	106	6
RXRB	106	6
RGL2	106	6
NOTCH4	106	6
HLA-DOB	106	6
HSPA1L	106	6
TRIM27	106	6
UBD	106	6
PRSS16	106	6
THEM2	106	6
ALDH5A1	106	6
FAM8A1	106	6
GMPR	106	6
SIRT5	106	6
CITED2	106	6
SASH1	106	6
AKAP12	106	6
RPS6KA2	106	6
HOXA5	106	6
FBXL18	106	6
ZNF12	106	6
PSCD3	106	6
TFPI2	106	6
LUC7L2	106	6
ZFHX4	106	6
PPM2C	106	6
DNAJB5	106	6
NEBL	106	6
CH25H	106	6
SH3PXD2A	106	6
CST6	106	6
MMP12	106	6
CRYAB	106	6
SLC37A4	106	6
ETS1	106	6
ADIPOR2	106	6
UTP20	106	6
KIAA1033	106	6
XPO4	106	6
GTF2F2	106	6
ZC3H13	106	6
RB1	106	6
LIPC	106	6
SNRPA1	106	6
QPRT	106	6
WDR45L	106	6
RAB40B	106	6
MRPS12	106	6
EIF3K	106	6
RPS16	106	6
PSMC4	106	6
ECH1	106	6
PAK4	106	6
ZNF780B	106	6
SAMD4B	106	6
SUPT5H	106	6
OPA3	106	6
IRF2BP1	106	6
MARK4	106	6
TCF15	106	6
BLCAP	106	6
CTNNBL1	106	6
DLGAP4	106	6
PI3	106	6
B4GALT5	106	6
PARD6B	106	6
SDF2L1	106	6
GPM6B	106	6
PHKA1	106	6
GJB1	106	6
